company_name,ticker,exchange,sector,industry,status,ipo_date,issue_price,price_band_low,price_band_high,listing_price,current_price,offer_size,market_cap_at_ipo,current_market_cap,gmp,subscription,ai_score,ai_rating,ai_confidence,source,country
Tata Technologies Ltd,TATATECH,NSE,Technology,Software,listed,2023-01-01,,,,,,,,,,,79.1,Good IPO,Medium,expansion_db,IN
Fortescue Metals Group,FMG,ASX,Basic Materials,Metals & Mining,listed,2003-01-01,,,,,,,,,,,77.2,Good IPO,Medium,expansion_db,AU
Apple Inc.,AAPL,NASDAQ,Technology,Consumer Electronics,listed,,,,,,,,,,,,75.6,Good IPO,Medium,ipo_data.json,
Microsoft Corporation,MSFT,NASDAQ,Technology,Software,listed,,,,,,,,,,,,75.3,Good IPO,Medium,ipo_data.json,
NVIDIA Corporation,NVDA,NASDAQ,Technology,Semiconductors,listed,,,,,,,,,,,,75.1,Good IPO,Medium,ipo_data.json,
HDFC Life Insurance Co.,HDFCLIFE,NSE,Financial,Insurance,listed,2017-01-01,,,,,,,,,,,74.5,Good IPO,Medium,expansion_db,IN
Macquarie Group Ltd,MQG,ASX,Financial,Financial Services,listed,1996-01-01,,,,,,,,,,,74.4,Good IPO,Medium,expansion_db,AU
Reliance Jio,RELJIO,NSE,,,upcoming,–,,,,,,,,,,,73.9,Good IPO,Medium,ipos.json,India
Visaman Global,,BSE,,,listed,2024-07-01,,30.0,30.0,,113.25,,,59.0,,,73.6,Good IPO,Medium,ipo_data.json,
Tata Consultancy Services,TCS,NSE,Technology,Software,listed,2004-01-01,,,,,,,,,,,72.8,Good IPO,Medium,expansion_db,IN
Bharat Petroleum Corp Ltd,BPCL,NSE,Energy,Oil & Gas,listed,1995-01-01,,,,,,,,,,,72.7,Good IPO,Medium,expansion_db,IN
HDFC Bank Ltd,HDFCBANK,NSE,Financial,Banks,listed,1995-01-01,,,,,,,,,,,72.5,Good IPO,Medium,expansion_db,IN
Tata Steel Ltd,TATASTEEL,NSE,Basic Materials,Steel,listed,1907-01-01,,,,,,,,,,,72.5,Good IPO,Medium,expansion_db,IN
Amazon.com Inc.,AMZN,NASDAQ,Consumer Cyclical,E-Commerce,listed,,,,,,,,,,,,72.3,Good IPO,Medium,ipo_data.json,
IndusInd Bank Ltd,INDUSINDBK,NSE,Financial,Banks,listed,1998-01-01,,,,,,,,,,,72.3,Good IPO,Medium,expansion_db,IN
Reliance Industries Ltd,RIL,NSE,Energy,Conglomerate,listed,1977-01-01,,,,,,,,,,,72.1,Good IPO,Medium,expansion_db,IN
Procter & Gamble Company,PG,NYSE,Consumer Defensive,Household Products,listed,,,,,,,,,,,,72.0,Good IPO,Medium,ipo_data.json,
Tata Power Co Ltd,TATAPOWER,NSE,Utilities,Electric Utilities,listed,1919-01-01,,,,,,,,,,,71.6,Good IPO,Medium,expansion_db,IN
PolicyBazaar (PB Fintech),POLICYBZR,NSE,Technology,Fintech,listed,2021-01-01,,,,,,,,,,,71.4,Good IPO,Medium,expansion_db,IN
IREDA Ltd,IREDA,NSE,Financial,Financial Services,listed,2023-01-01,,,,,,,,,,,71.2,Good IPO,Medium,expansion_db,IN
Western Carriers,,BSE,,,listed,2024-09-24,,172.0,172.0,,96.08,,,1754.0,,,71.1,Good IPO,Medium,ipo_data.json,
Bajaj Auto Ltd,BAJAJ-AUTO,NSE,Consumer Cyclical,Auto Manufacturers,listed,2003-01-01,,,,,,,,,,,71.0,Good IPO,Medium,expansion_db,IN
Nintendo Co. Ltd.,NTDOY,OTC,Technology,Entertainment,listed,,,,,,,,,,,,70.9,Good IPO,Medium,ipo_data.json,
Bharat Heavy Electricals Ltd,BHEL,NSE,Industrials,Industrial Equipment,listed,1994-01-01,,,,,,,,,,,70.9,Good IPO,Medium,expansion_db,IN
Marinetrans Indi,,BSE,,,listed,2023-12-08,,26.0,26.0,,15.9,,,33.0,,,70.8,Good IPO,Medium,ipo_data.json,
Zenith Steel Pipes Ltd,ZENITHSTL,NSE,Basic Materials,Steel,listed,2024-01-01,,,,,,,,,,,70.8,Good IPO,Medium,expansion_db,IN
Infosys Ltd,INFY,NSE,Technology,Software,listed,1993-01-01,,,,,,,,,,,70.7,Good IPO,Medium,expansion_db,IN
CSL Ltd,CSL,ASX,Healthcare,Biotechnology,listed,1994-01-01,,,,,,,,,,,70.6,Good IPO,Medium,expansion_db,AU
Wesfarmers Ltd,WES,ASX,Consumer Defensive,Discount Stores,listed,1993-01-01,,,,,,,,,,,70.6,Good IPO,Medium,expansion_db,AU
Blue Dart Express Ltd,BLUEDART,NSE,Industrials,Logistics,listed,2002-01-01,,,,,,,,,,,70.5,Good IPO,Medium,expansion_db,IN
Northern Arc,,BSE,,,listed,2024-09-24,,263.0,263.0,,296.85,,,4243.0,,,70.3,Good IPO,Medium,ipo_data.json,
Tata Consumer Products,TATACONSUM,NSE,Consumer Defensive,Food,listed,2003-01-01,,,,,,,,,,,70.2,Good IPO,Medium,expansion_db,IN
Eicher Motors Ltd,EICHERMOT,NSE,Consumer Cyclical,Auto Manufacturers,listed,2003-01-01,,,,,,,,,,,69.8,Average IPO,Medium,expansion_db,IN
Zenith Health Care Ltd,ZENITHHEL,NSE,Healthcare,Pharmaceuticals,listed,2024-01-01,,,,,,,,,,,69.8,Average IPO,Medium,expansion_db,IN
Indus Towers Ltd,INDUSTOWER,NSE,Communication,Telecom,listed,2020-01-01,,,,,,,,,,,69.7,Average IPO,Medium,expansion_db,IN
Roper Technologies Inc.,ROP,NYSE,Technology,Software,listed,1992-01-01,,,,,,,,,,,69.7,Average IPO,Medium,expansion_db,US
Moody's Corporation,MCO,NYSE,Financial,Financial Services,listed,1996-01-01,,,,,,,,,,,69.7,Average IPO,Medium,expansion_db,US
Medi Assist Ser.,,BSE,,,listed,2024-01-23,,394.0,394.0,,357.25,,,2941.0,,,69.5,Average IPO,Medium,ipo_data.json,
Sheetal Univer.,,BSE,,,listed,2023-12-11,,70.0,70.0,,295.5,,,80.0,,,69.5,Average IPO,Medium,ipo_data.json,
ICICI Prudential Life Ins.,ICICIPRULI,NSE,Financial,Insurance,listed,2016-01-01,,,,,,,,,,,69.5,Average IPO,Medium,expansion_db,IN
Burberry Group PLC,BRBY,LSE,Consumer Cyclical,Luxury Goods,listed,2002-01-01,,,,,,,,,,,69.5,Average IPO,Medium,expansion_db,GB
Fastly Inc.,FSLY,NYSE,Technology,Software,listed,2019-01-01,,,,,,,,,,,69.5,Average IPO,Medium,expansion_db,US
Tata Coffee Ltd,TATACOFFEE,NSE,Consumer Defensive,Food,listed,1995-01-01,,,,,,,,,,,69.4,Average IPO,Medium,expansion_db,IN
Mastercard Incorporated,MA,NYSE,Financial,Credit Services,listed,,,,,,,,,,,,69.3,Average IPO,Medium,ipo_data.json,
Petronet LNG Ltd,PETRONET,NSE,Energy,Oil & Gas,listed,2004-01-01,,,,,,,,,,,69.3,Average IPO,Medium,expansion_db,IN
Lloyds Banking Group,LLOY,LSE,Financial,Banks,listed,1997-01-01,,,,,,,,,,,69.2,Average IPO,Medium,expansion_db,GB
Zendesk Inc.,ZEN,NYSE,Technology,Software,listed,2014-01-01,,,,,,,,,,,69.2,Average IPO,Medium,expansion_db,US
Keyence Corporation,KYCCF,OTC,Technology,Scientific Instruments,listed,,,,,,,,,,,,69.1,Average IPO,Medium,ipo_data.json,
Paytm (One97 Comm.),PAYTM,NSE,Technology,Fintech,listed,2021-01-01,,,,,,,,,,,69.0,Average IPO,Medium,expansion_db,IN
Entertainment Network India,ENIL,NSE,Communication,Media,listed,2007-01-01,,,,,,,,,,,69.0,Average IPO,Medium,expansion_db,IN
Jay Bee Laminati,,BSE,,,listed,2024-09-03,,146.0,146.0,,89.4,,,329.0,,,68.9,Average IPO,Medium,ipo_data.json,
Finolex Industries Ltd,FINPIPE,NSE,Industrials,Plumbing,listed,1995-01-01,,,,,,,,,,,68.9,Average IPO,Medium,expansion_db,IN
Highness Microelectronics,,BSE,,,listed,2026-04-02,,120.0,120.0,,156.35,,,62.0,,,68.8,Average IPO,Medium,ipo_data.json,
Twilio Inc.,TWLO,NYSE,Technology,Software,listed,2016-01-01,,,,,,,,,,,68.8,Average IPO,Medium,expansion_db,US
CME Group Inc.,CME,NASDAQ,Financial,Financial Services,listed,2002-01-01,,,,,,,,,,,68.8,Average IPO,Medium,expansion_db,US
Vdeal System,,BSE,,,listed,2024-09-03,,112.0,112.0,,169.95,,,55.0,,,68.6,Average IPO,Medium,ipo_data.json,
Premier Energies,,BSE,,,listed,2024-09-03,,447.0,447.0,,1080.1,,,20285.0,,,68.6,Average IPO,Medium,ipo_data.json,
Johnson & Johnson,JNJ,NYSE,Healthcare,Drug Manufacturers,listed,,,,,,,,,,,,68.6,Average IPO,Medium,ipo_data.json,
DLF Ltd,DLF,NSE,Real Estate,Real Estate Development,listed,2007-01-01,,,,,,,,,,,68.6,Average IPO,Medium,expansion_db,IN
Bajaj Consumer Care Ltd,BAJAJCON,NSE,Consumer Defensive,Personal Care,listed,1995-01-01,,,,,,,,,,,68.6,Average IPO,Medium,expansion_db,IN
Australia & NZ Banking Grp,ANZ,ASX,Financial,Banks,listed,1993-01-01,,,,,,,,,,,68.6,Average IPO,Medium,expansion_db,AU
HubSpot Inc.,HUBS,NYSE,Technology,Software,listed,2014-01-01,,,,,,,,,,,68.6,Average IPO,Medium,expansion_db,US
